cex;nama_token;ticker;sc;decimals
INDODAX;CAKE;CAKE;0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82;18
GATE;PancakeSwap;CAKE;0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82;18
KUCOIN;ULTI;ULTI;0x0e7779e698052f8fe56c415c3818fcf89de9ac6d;18
BITGET;ULTI;ULTI;0x0e7779e698052f8fe56c415c3818fcf89de9ac6d;18
GATE;Ultiverse;ULTI;0x0E7779e698052f8fe56C415C3818FCf89de9aC6D;18
MEXC;Ultiverse;ULTI;0x0E7779e698052f8fe56C415C3818FCf89de9aC6D;18
MEXC;Fortune Room;NEWFRT;0x0e7f14Cd1a051a1363E856019b62F026a78686A2;18
MEXC;Stability World AI;AIW;0x0eA82A52dA127BB06740b4B2B2863fEfE9C34011;18
BINANCE;Cosmos;ATOM;0x0eb3a705fc54725037cc9e008bdede697f62f335;18
BINANCE;eCash;XEC;0x0ef2e7602add1733bfdb17ac3094d0421b502ca3;18
MEXC;BAS;BAS;0x0F0df6cB17ee5E883eddFEf9153fC6036BDB4e37;18
KUCOIN;BAS;BAS;0x0f0df6cb17ee5e883eddfef9153fc6036bdb4e37;18
GATE;BNB Attestation Service;BAS;0x0f0df6cb17ee5e883eddfef9153fc6036bdb4e37;18
MEXC;HELLO;HELLO;0x0F1cBEd8EFa0E012AdbCCB1638D0aB0147D5Ac00;18
GATE;HELLO;HELLO;0x0F1cBEd8EFa0E012AdbCCB1638D0aB0147D5Ac00;18
GATE;Climate 101;GIGS;0x0f34810810dd05d2bcaef091d54497ad40801ff2;18
BINANCE;Perlin;PERL;0x0f9e4d49f25de22c2202af916b681fbb3790497b;18
MEXC;MANSORY;MNSRY;0x0fCfE33b46E5B21e5E96B722d4c85510198F9255;18
BINANCE;Basic Attention Token;BAT;0x101d82428437127bf1608f699cd651e6abf9766e;18
KUCOIN;XTER;XTER;0x103071da56e7cd95b415320760d6a0ddc4da1ca5;18
BITGET;XTER;XTER;0x103071da56e7cd95b415320760d6a0ddc4da1ca5;18
GATE;Xterio;XTER;0x103071da56e7cd95b415320760d6a0ddc4da1ca5;18
MEXC;Xterio;XTER;0x103071Da56e7cD95b415320760D6a0dDC4DA1ca5;18
MEXC;Bondex;BDXN;0x1036b2379F506761f237FBa7463857924Ef21Ce3;18
BINANCE;1inch;1INCH;0x111111111117dc0aa78b770fa6a738034120c302;18
GATE;1inch;1INCH;0x111111111117dc0aa78b770fa6a738034120c302;18
GATE;Counter Fire;CEC;0x111111267109489dc6f350608d5113b10c0c5cd7;18
BINANCE;Auction;AUCTION;0x1188d953afc697c031851169eef640f23ac8529c;18
MEXC;Biometric Financial;BIOFI;0x11A31b833d43853f8869C9EEc17F60e3B4d2a753;18
GATE;Forest Protocol;FOREST;0x11cf6bf6d87cb0eb9c294fd6cbfec91ee3a1a7d0;18
MEXC;Forest Protocol;FOREST;0x11cf6bF6D87CB0EB9c294fd6CBFEC91EE3a1A7D0;18
GATE;Darkshield Games Studios;DKS;0x121235cfF4c59EEC80b14c1d38B44e7de3A18287;18
MEXC;Broccoli;BROCCOLIF3B;0x12B4356C65340Fb02cdff01293F95FEBb1512F3b;18
KUCOIN;RACA;RACA;0x12bb890508c125661e03b09ec06e404bc9289040;18
MEXC;Radio Caca;RACA;0x12bb890508c125661e03b09ec06e404bc9289040;18
BITGET;RACA;RACA;0x12bb890508c125661e03b09ec06e404bc9289040;18
GATE;Radio Caca;RACA;0x12bb890508c125661e03b09ec06e404bc9289040;18
GATE;Dark Frontiers;FRONTIERS;0x12fc07081fab7de60987cad8e8dc407b606fb2f8;8
BINANCE;Yield Guild Games;YGG;0x13ab6739368a4e4abf24695bf52959224367391f;18
BINANCE;Cyber;CYBER;0x14778860e937f509e651192a90589de711fb88a9;18
BITGET;CYBER;CYBER;0x14778860e937f509e651192a90589de711fb88a9;18
MEXC;CyberConnect;CYBER;0x14778860E937f509e651192a90589dE711Fb88a9;18
GATE;Cyber;CYBER;0x14778860E937f509e651192a90589dE711Fb88a9;18
GATE;Lootex;LOOT;0x14a9a94e555fdd54c21d7f7e328e61d7ebece54b;18
MEXC;SHIBBABY;SHIBBABY;0x14de85DB4EB2e491a1d79b645b679F2e32dF6476;18
KUCOIN;ZKC;ZKC;0x15247e6e23d3923a853ccf15940a20ccdf16e94a;18
BINANCE;Boundless;ZKC;0x15247e6e23d3923a853ccf15940a20ccdf16e94a;18
MEXC;Boundless;ZKC;0x15247e6E23D3923a853cCf15940A20CCdf16e94a;18
BINANCE;JasmyCoin;JASMY;0x15669cf161946c09a8b207650bfbb00e3d8a2e3e;18
GATE;PolkaWar;PWAR;0x16153214e683018d5aa318864c8e692b66e16778;18
GATE;Splinterlands;SPS;0x1633b7157e7638C4d6593436111Bf125Ee74703F;18
MEXC;Metti Token;MTT;0x166c52d0633484C9ac0203dCBDc97bC32Aaef720;18
BINANCE;Tezos;XTZ;0x16939ef78684453bfdfb47825f8a5f714f12623a;18
MEXC;Storepay Fintech;SPCFIN;0x16f0d99be1fbD0312641E318c53A63B40AAF5df6;18
KUCOIN;DCK;DCK;0x16faf9daa401aa42506af503aa3d80b871c467a3;18
MEXC;DexCheck;DCK;0x16faF9DAa401AA42506AF503Aa3d80B871c467A3;18
GATE;DexCheck;DCK;0x16faf9daa401aa42506af503aa3d80b871c467a3;18
GATE;Sero;SERO;0x1702EC380e924B0E12d5C2e838B6b91A1fB3A052;18
MEXC;TOMCoin;TOM;0x1792d8636A9c70b89022167CCb89fD836a6Ac771;18
MEXC;Baby Bonk;BABYBONK;0x180b25beb6c84c2b3855E630d50C965425Fb5de2;9
KUCOIN;LKI;LKI;0x1865dc79a9e4b5751531099057d7ee801033d268;18
MEXC;Laika AI;LKI;0x1865dc79a9e4B5751531099057D7Ee801033d268;18
GATE;Laika AI;LKI;0x1865dc79a9e4b5751531099057d7ee801033d268;18
BINANCE;MovieBloc;MBL;0x18e37f96628db3037d633fe4d469fb1933a63c5b;18
MEXC;TLOS;TLOS;0x193f4A4a6ea24102F49b931DEeeb931f6E32405d;18
KUCOIN;TLOS;TLOS;0x193f4a4a6ea24102f49b931deeeb931f6e32405d;18
GATE;HoDooi;HOD;0x19a4866a85c652eb4a2ed44c42e4cb2863a62d51;18
BITGET;SUP;SUP;0x19ed254efa5e061d28d84650891a3db2a9940c16;18
KUCOIN;SUP;SUP;0x19ed254efa5e061d28d84650891a3db2a9940c16;18
MEXC;Superp;SUP;0x19Ed254efa5E061D28d84650891a3db2A9940C16;18
BITGET;HOLO;HOLO;0x1a5d7e4c3a7f940b240b7357a4bfed30d17f9497;18
KUCOIN;HOLO;HOLO;0x1a5d7e4c3a7f940b240b7357a4bfed30d17f9497;18
GATE;Holoworld AI;HOLO;0x1a5d7e4c3a7f940b240b7357a4bfed30d17f9497;18
BINANCE;Holoworld AI;HOLO;0x1a5d7e4c3a7f940b240b7357a4bfed30d17f9497;18
MEXC;Holoworld AI;HOLO;0x1a5D7E4c3A7F940B240b7357a4bFED30D17f9497;18
GATE;Tenset;10SET;0x1AE369A6AB222aFF166325B7b87Eb9aF06C86E57;18
KUCOIN;BSU;BSU;0x1aecab957bad4c6e36dd29c3d3bb470c4c29768a;18
GATE;Baby Shark Universe;BSU;0x1aecab957bad4c6e36dd29c3d3bb470c4c29768a;18
MEXC;Baby Shark Universe;BSU;0x1AeCab957bAD4C6e36DD29C3d3BB470c4C29768A;18
BITGET;BSU;BSU;0x1aecab957bad4c6e36dd29c3d3bb470c4c29768a;18
BINANCE;Dai;DAI;0x1af3f329e8be154074d8769d1ffa4ee058b1dbc3;18
BITGET;DAI;DAI;0x1af3f329e8be154074d8769d1ffa4ee058b1dbc3;18
INDODAX;Connex;CONX;0x1b2128AbC4119474D16Bb0a04200B63B0e68A971;18
